cut,color,clarity,carat,price
Fair,E,VS2,0.22,337
Fair,E,SI2,0.86,2757
Fair,F,SI2,0.96,2759
Fair,F,VS2,0.7,2762
Fair,F,VS2,0.7,2762
Fair,H,SI2,0.91,2763
Fair,H,SI2,0.91,2763
Fair,H,SI2,0.98,2777
Fair,G,SI1,0.84,2782
Fair,E,I1,1.01,2788
Fair,J,SI2,1.05,2789
Fair,G,VVS1,0.7,2797
Fair,E,SI2,1.01,2797
Fair,G,VS1,0.76,2800
Fair,I,SI1,0.9,2804
Fair,E,VVS1,0.57,2805
Fair,F,VS2,0.74,2805
Fair,G,I1,1,2808
Fair,F,I1,1.2,2809
Fair,J,VS2,1,2811
Fair,I,SI2,0.99,2811
Fair,J,SI1,0.99,2812
Fair,J,VS2,0.9,2815
Fair,F,SI2,0.95,2815
Fair,E,SI2,0.96,2815
Fair,H,SI2,1,2818
Fair,H,SI2,0.9,2823
Fair,H,SI2,0.91,2825
Fair,G,SI2,0.9,2834
Fair,F,SI1,0.82,2838
Fair,G,SI1,0.95,2841
Fair,H,SI2,1.01,2846
Fair,D,SI2,0.75,2848
Fair,J,VS2,0.91,2854
Fair,J,VS2,0.91,2854
Fair,H,SI1,0.91,2854
Fair,E,SI2,0.98,2855
Fair,I,SI1,1.02,2856
Fair,G,SI2,1,2856
Fair,I,SI1,1,2856
Fair,H,SI2,1,2856
Fair,G,SI2,0.9,2858
Fair,D,VS2,0.71,2858
Fair,F,VS1,0.75,2859
Fair,F,IF,0.62,2861
Fair,E,SI2,1.01,2862
Fair,F,SI2,0.96,2867
Fair,H,SI1,1,2873
Fair,I,SI1,0.9,2873
Fair,I,SI1,0.9,2873
Fair,I,SI1,0.9,2873
Fair,H,SI2,1,2875
Fair,J,VS1,1,2875
Fair,I,SI1,1,2875
Fair,H,SI2,1,2875
Fair,F,VS1,0.72,2879
Fair,F,SI1,0.88,2882
Fair,H,SI2,0.9,2883
Fair,I,SI2,1.03,2884
Fair,E,SI1,0.8,2885
Fair,D,SI2,0.9,2885
Fair,H,I1,1.19,2892
Fair,E,VS2,0.71,2902
Fair,H,SI2,1,2912
Fair,I,SI1,1,2912
Fair,H,SI2,1,2912
Fair,I,VS2,0.9,2921
Fair,E,SI2,0.9,2930
Fair,I,I1,1.17,2935
Fair,E,VS2,0.75,2940
Fair,G,SI2,1.03,2942
Fair,G,SI2,1.01,2942
Fair,I,SI2,0.9,2948
Fair,E,SI2,1,2948
Fair,J,SI1,0.99,2949
Fair,F,SI2,0.98,2958
Fair,G,VVS2,0.74,2959
Fair,E,VS1,0.7,2964
Fair,F,SI2,0.9,2964
Fair,J,VS1,0.9,2964
Fair,G,SI1,1,2964
Fair,H,I1,1.5,2964
Fair,J,VS1,0.9,2964
Fair,H,I1,1.13,2968
Fair,F,SI1,0.91,2971
Fair,D,SI2,1,2974
Fair,E,SI2,0.9,2982
Fair,J,SI2,1.06,2992
Fair,G,SI1,1.01,2993
Fair,F,SI2,0.91,2996
Fair,J,VVS2,1.01,2998
Fair,G,VS1,0.85,2998
Fair,H,I1,1.02,2999
Fair,F,VS1,0.73,3002
Fair,D,SI2,1.01,3003
Fair,J,I1,1.2,3011
Fair,I,I1,1.2,3011
Fair,I,I1,1.2,3011
Fair,E,SI2,1,3011
Fair,H,SI1,0.9,3024
Fair,J,SI1,1.02,3027
Fair,G,SI2,1,3027
Fair,F,VS1,0.77,3031
Fair,I,VS2,0.92,3033
Fair,F,VS1,0.7,3039
Fair,D,VS1,0.73,3047
