cut,color,clarity,carat,price
Ideal,G,VS1,0.61,2167
Ideal,H,SI2,1.2,4368
Ideal,E,VVS1,1.02,11028
Ideal,G,SI1,2.01,18741
Ideal,G,VS2,0.56,1698
Very Good,D,SI1,0.36,851
Premium,E,VS1,0.4,1053
Very Good,I,VS2,1.05,4895
Ideal,G,VS2,1.04,6290
Good,D,SI1,0.92,4158
Premium,H,SI1,0.53,1132
Good,H,SI1,0.81,2599
Ideal,F,VS2,1.1,7658
Ideal,G,SI2,2.46,15745
Premium,G,VVS2,0.46,1314
Very Good,H,VVS2,1.01,5684
Ideal,E,VS2,0.5,1768
Ideal,I,VVS1,0.52,1619
Premium,F,SI2,1.07,4446
Good,G,SI2,0.9,3162
Premium,G,SI2,1.12,3838
Very Good,E,VS2,0.9,3894
Good,E,SI1,0.43,718
Good,D,SI2,1.51,8706
Very Good,H,SI1,1.62,11351
Very Good,F,SI1,0.91,4279
Ideal,E,VVS1,0.3,956
Ideal,D,SI1,0.6,1774
Premium,E,VS2,0.38,1112
Ideal,H,VVS2,0.3,605
Very Good,E,SI1,1.5,12247
Ideal,F,VS1,0.41,1076
Good,G,SI2,0.41,570
Ideal,F,VVS2,0.59,2551
Ideal,D,VS2,0.74,3087
Ideal,F,SI2,0.41,703
Premium,E,VS2,0.3,658
Very Good,E,SI2,0.5,1077
Ideal,E,SI2,0.81,2901
Premium,D,VVS1,0.38,1400
Premium,G,SI1,1.54,11574
Ideal,E,VVS1,0.35,1030
Very Good,E,VVS2,0.31,707
Premium,E,VS1,0.46,1372
Premium,H,SI1,0.7,2331
Good,F,SI1,0.72,2563
Fair,H,I1,1.52,3504
Ideal,E,VS2,0.3,795
Ideal,I,VS1,1.09,6225
Very Good,G,SI2,1.21,5364
Good,H,VS2,0.9,3881
Ideal,D,VS2,0.31,942
Very Good,E,VS2,1.5,14527
Premium,H,VS2,1.55,11708
Premium,I,SI1,1.09,4273
Very Good,F,VVS2,1.51,16613
Good,I,VS2,0.93,3946
Good,D,SI1,1.4,8624
Ideal,F,VVS1,0.4,1323
Ideal,E,VS2,0.33,723
Ideal,D,SI1,0.36,663
Ideal,H,SI2,0.4,596
Ideal,H,VVS2,0.35,706
Ideal,H,IF,0.37,936
Premium,I,VS2,0.31,435
Ideal,G,SI2,0.36,505
Ideal,E,VS1,0.36,933
Very Good,E,VS2,1.01,6310
Very Good,F,VS2,0.46,1273
Very Good,E,VVS1,0.25,575
Ideal,G,SI1,0.71,3061
Ideal,F,SI1,1.17,6828
Very Good,F,SI2,1.01,4121
Premium,H,VVS2,0.51,1749
Premium,E,VS2,0.5,1746
Very Good,E,VS1,0.28,487
Premium,G,VS1,0.41,899
Ideal,I,VS1,0.7,2142
Very Good,E,SI1,0.42,773
Good,F,SI1,1.01,4989
Ideal,E,VS2,0.3,619
Premium,H,SI1,0.71,2006
Ideal,E,VS1,0.41,863
Very Good,E,VVS2,0.28,596
Very Good,G,VS1,0.37,957
Premium,I,VS1,1.3,6931
Premium,G,VS2,0.34,765
Very Good,J,SI2,1.22,3443
Very Good,E,SI1,0.75,2517
Premium,F,VS2,1.51,14247
Very Good,I,VS2,0.77,2513
Premium,F,SI2,1.01,4416
Very Good,E,SI1,0.7,2923
Ideal,I,VS2,1.11,5506
Premium,G,SI1,1.02,4633
Ideal,F,VS2,0.53,1650
Ideal,F,VS1,0.57,2065
Premium,H,VS2,1.58,8936
Good,F,SI2,0.9,3116
Very Good,H,SI1,1.0,4830
Fair,I,I1,0.73,1049
Premium,H,VS2,1.35,7918
Premium,D,SI2,1.01,4672
Ideal,E,VS2,0.31,872
Very Good,J,IF,0.38,827
Ideal,H,SI1,1.52,10239
Premium,D,SI2,1.04,4123
Good,I,VVS1,0.47,1093
Premium,F,VS2,1.0,6296
Fair,D,SI2,1.01,3871
Ideal,F,VVS2,0.57,2360
Premium,E,VS2,0.36,1013
